name,requirements,details,full_address,short_address,street,city,state,zip,phone,hours,tags
"Harlan County Caring Cupboard, Inc.",Requirements: Please call partner for more information (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"807 Main St, Alma, NE 68920","807 Main St, Alma, NE 68920",807 Main St,Alma,NE,68920,(308) 928-2264,Mon - Fri Please call partner for more information.,Food Pantry
Harvard Peoples Project Food Pantry,Requirements: Proof of residency (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"501 N Harvard Ave, Harvard, NE 68944","501 N Harvard Ave, Harvard, NE 68944",501 N Harvard Ave,Harvard,NE,68944,(402) 772-2781,"Mon By appointment, 10:00 am - 6:00 pm; Tues - Fri Please call partner for more information.; Sat By appointment, 9:00 am - 10:30 am",Food Pantry
Hastings Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"918 W 4th St, Hastings, NE 68901","918 W 4th St, Hastings, NE 68901",918 W 4th St,Hastings,NE,68901,(402) 463-2911,Mon - Fri 11:00 am - 4:00 pm,Food Pantry
Heart Ministry Center Inc,Requirements: Please call partner for more information (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"2222 Binney St, Omaha, NE 68110","2222 Binney St, Omaha, NE 68110",2222 Binney St,Omaha,NE,68110,(402) 880-4746,Tues (For Seniors) 10:00 am - 1:00 pm; Wed 10:00 am - 1:00 pm; Fri 10:00 am - 1:00 pm,Food Pantry
Heartland Child Development Center,Requirements: Enrolled student.,NA,"710 1st Ave, Council Bluffs, IA 51501","710 1st Ave, Council Bluffs, IA 51501",710 1st Ave,Council Bluffs,IA,51501,(712) 256-1877,"Mon - Fri 9:00 am, 11:30 am, 3:00 pm",Meal Provider
Heartland Hope Mission,Requirements: TEFAP form if applicable (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"15555 Industrial Road, Omaha, NE 68144","15555 Industrial Road, Omaha, NE 68144",15555 Industrial Road,Omaha,NE,68144,(402) 733-1904,Wed 1:30 pm - 3:30 pm,Food Pantry
Helping Hands - Kearney,Requirements: None.,Details: USDA/TEFAP Provider.,"1724 1st Ave, Kearney, NE 68847","1724 1st Ave, Kearney, NE 68847",1724 1st Ave,Kearney,NE,68847,(308) 627-4859,"Sun 2nd Sun of each month, 2:00 pm - 4:00 pm",Food Pantry
Here to Help Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"403 Sturgis St, Glenvil, NE 68941","403 Sturgis St, Glenvil, NE 68941",403 Sturgis St,Glenvil,NE,68941,(402) 469-3786,"Sat 1st & 3rd Sat of each month, 10:00 am - 12:00 pm",Food Pantry
Hitchcock County Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"308 Taylor Ave, Culbertson, NE 69024","308 Taylor Ave, Culbertson, NE 69024",308 Taylor Ave,Culbertson,NE,69024,(308) 278-2123,"Mon 9:00 am - 11:00 am; Wed 2nd and 4th Wednesday of each month, 3:30 pm - 5:30 pm; Fri 1st and 3rd Fri of each month, 3:30 pm - 5:30 pm",Food Pantry
Holy Cross Lutheran Church,Requirements: Please call partner for more information.,NA,"4117 Terrace Dr, Omaha, NE 68134","4117 Terrace Dr, Omaha, NE 68134",4117 Terrace Dr,Omaha,NE,68134,(402) 571-1622,Mon Please call partner for more information.; Thurs 3rd Thurs of each month from 5:00 pm - 6:30 pm; Sat 1st Sat of each month from 8:00 am - 9:30 am,Food Pantry
Holy Ghost Pantry St. Vincent De Paul (SVDP),Requirements: None.,Details: USDA/TEFAP Provider.,"5219 S 53rd St, Omaha, NE 68117","5219 S 53rd St, Omaha, NE 68117",5219 S 53rd St,Omaha,NE,68117,(402) 731-3176,"Mon By appointment, Please call partner for more information.",Food Pantry
Holy Name St. Vincent De Paul (SVDP),"Requirements: ID, proof of address, Social Security card for dependents (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"2901 Fontenelle Blvd, Omaha, NE 68104","2901 Fontenelle Blvd, Omaha, NE 68104",2901 Fontenelle Blvd,Omaha,NE,68104,(402) 451-6622,Wed 4:00 pm - 6:00 pm,Food Pantry
Hope Harbor Food Pantry,Requirements: None.,NA,"615 W 1st St, Grand Island, NE 68801","615 W 1st St, Grand Island, NE 68801",615 W 1st St,Grand Island,NE,68801,(308) 385-5190,Mon - Fri 9:00 am-3:00 pm; Sat - Sun Please call partner for more information.,Food Pantry
Hope West Food Pantry,Requirements: None.,NA,"2556 S 138th St, Omaha, NE 68144","2556 S 138th St, Omaha, NE 68144",2556 S 138th St,Omaha,NE,68144,(402) 932-0084,"Tues 12:00 pm - 3:00 pm; Sat 4th Sat of each month, 10:00 am - 12:00 pm",Food Pantry
Howard - Greeley Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"1104 4th St, St Paul, NE 68873","1104 4th St, St Paul, NE 68873",1104 4th St,St Paul,NE,68873,(308) 750-6439,Tues 4:00 pm - 6:00 pm; Sat 9:00 am - 11:00 am,Food Pantry
Human Services Inc.,Requirements: Residents only.,NA,"419 W 25th St, Alliance, NE 69301","419 W 25th St, Alliance, NE 69301",419 W 25th St,Alliance,NE,69301,(308) 762-7177,Mon - Sun 24/7 - Please call partner for more information.,Meal Provider
Intercultural Senior Center,Requirements: Please call partner for more information (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"5545 Center St, Omaha, NE 68106","5545 Center St, Omaha, NE 68106",5545 Center St,Omaha,NE,68106,(402) 444-6529,Mon Please call partner for more information.,Food Pantry
James Phillip Foster (JPF) Hope Resource Center,"Requirements: Name, zip code, household size, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"6124 N 99th St, Omaha, NE 68134","6124 N 99th St, Omaha, NE 68134",6124 N 99th St,Omaha,NE,68134,(402) 733-0594,"Sat 3rd Sat of each month, 10:00 am - 12:00 pm",Food Pantry
Joseph's Coat,"Requirements: Proof of residency,tefap form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"1737 Washington St, Blair, NE 68008","1737 Washington St, Blair, NE 68008",1737 Washington St,Blair,NE,68008,(402) 426-0440,Mon - Tues 10:00 am - 12:30 pm; Thurs - Fri 10:00 am - 12:30 pm; Sat 9:00 am - 12:00 pm,Food Pantry
Kearney Jubilee Center,Requirements: ID is preferred not mandatory (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"1920 Central Ave, Kearney, NE 68847","1920 Central Ave, Kearney, NE 68847",1920 Central Ave,Kearney,NE,68847,(308) 234-3880,Mon 1:00 pm - 5:00 pm; Tues 9:00 am - 1:00 pm; Wed 1:00 pm - 5:00 pm; Fri 1:00 pm - 5:00 pm,Food Pantry
Keith-Arthur County Food Pantry,"Requirements: Keith or Arthur country resident, ID, income verification, mail (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"309 W O St, Ogallala, NE 69153","309 W O St, Ogallala, NE 69153",309 W O St,Ogallala,NE,69153,(308) 280-0494,"Wed 1st and 3rd Weds: 11:30 am - 1:00 pm; 2nd, 4th, and 5th Weds: 5:30 pm - 7:00 pm",Food Pantry
Kimball Food Pantry,"Requirements: Keith or Arthur country resident, ID, income verification, mail (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"301 S Howard St, Kimball, NE 69145","301 S Howard St, Kimball, NE 69145",301 S Howard St,Kimball,NE,69145,(308) 235-7117,Tues 1st Tues 9:30 am - 11:15 am; Thurs 3rd and 4th Thurs 5:15 pm - 7:00 pm,Food Pantry
Kountze Memorial Pantry,Requirements: None.,NA,"2665 Douglas St, Omaha, NE 68131","2665 Douglas St, Omaha, NE 68131",2665 Douglas St,Omaha,NE,68131,(402) 341-7761,Mon 10:00 am - 1:00 pm,Food Pantry
Lexington Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"931 W 7th St, Lexington, NE 68850","931 W 7th St, Lexington, NE 68850",931 W 7th St,Lexington,NE,68850,(308) 324-4219,Mon - Thurs 9:00 am - 12:00 pm; 1:00 pm - 4:00 pm and by appointment,Food Pantry
Living Hope Food Pantry,Requirements: Please call partner for more information.,NA,"8323 N 30th St, Omaha, NE 68112","8323 N 30th St, Omaha, NE 68112",8323 N 30th St,Omaha,NE,68112,(402) 614-7452,Tues - Fri 11:00 am - 3:00 pm,Food Pantry
LM First Lutheran Pantry,"Requirements: Proof of address, ID, Social Security card (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"542 S 31St St, Omaha, NE 68105","542 S 31St St, Omaha, NE 68105",542 S 31St St,Omaha,NE,68105,(402) 345-7506,"Tues 1:00 pm - 4:00pm Closed June 9th, 2026",Food Pantry
Madison Food Pantry,Requirements: Any ID card (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"115 E 3rd St, Madison, NE 68748","115 E 3rd St, Madison, NE 68748",115 E 3rd St,Madison,NE,68748,(612) 554-2144,Sat 9:00 am - 11:00 am,Food Pantry
Marshall Drive Baptist Pantry,Requirements: None.,NA,"4845 Marshall Dr, Omaha, NE 68137","4845 Marshall Dr, Omaha, NE 68137",4845 Marshall Dr,Omaha,NE,68137,(402) 895-4227,"Fri Fri or by appointment, 9:00 am - 12:00 pm",Food Pantry
McCook Pantry Inc.,Requirements: None.,Details: USDA/TEFAP Provider.,"509 West 1st St, Mccook, NE 69001","509 West 1st St, Mccook, NE 69001",509 West 1st St,Mccook,NE,69001,(308) 340-1449,Mon - Fri 1:00 pm - 4:00 pm,Food Pantry
Metropolitan Community College (MCC) E-Pantry,Requirements: Please call partner for more information.,NA,"1234 E Hartman Ave, Omaha, NE 68110","1234 E Hartman Ave, Omaha, NE 68110",1234 E Hartman Ave,Omaha,NE,68110,(531) 622-2822,Mon - Sun Please call partner for more information.,Food Pantry
Midwest Family Worship Center,Requirements: TEFAP form if applicable (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"2540 6th Ave, Council Bluffs, IA 51501","2540 6th Ave, Council Bluffs, IA 51501",2540 6th Ave,Council Bluffs,IA,51501,(402) 505-2618,"Sat 3rd Sat of each month, 10:00 am- 12:00 pm",Food Pantry
Mills County Ministerial Pantry,"Requirements: Proof of residency, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"112 N Walnut St, Glenwood, IA 51534","112 N Walnut St, Glenwood, IA 51534",112 N Walnut St,Glenwood,IA,51534,(712) 527-4607,Thurs 1st Thurs of Month 6:00 pm - 8:00 pm; remaining Thurs 9:30 am - 2:00 pm,Food Pantry
Mills County Storehouse,"Requirements: Photo ID, proof of residency, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"405 Nuckolls St, Glenwood, IA 51534","405 Nuckolls St, Glenwood, IA 51534",405 Nuckolls St,Glenwood,IA,51534,(712) 527-5141,Mon 8:30 am - 1:00 pm; Tues 10:00 am - 3:00 pm; Thurs 10:00 am - 4:00 pm; Fri 10:00 am - 3:00 pm; Sat 10:00 am - 12:00 pm,Food Pantry
Morning Star Baptist Church,Requirements: Please call partner for more information.,NA,"2019 Burdette St, Omaha, NE 68110","2019 Burdette St, Omaha, NE 68110",2019 Burdette St,Omaha,NE,68110,(402) 342-0018,Mon Please call partner for more information.,Food Pantry
Neola Community Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"106 Lincoln St, Minden, IA 51553","106 Lincoln St, Minden, IA 51553",106 Lincoln St,Minden,IA,51553,(402) 968-5357,Sat 10:00 am - 12:00 pm,Food Pantry
New Life Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"1909 Park St, Hamburg, IA 51640","1909 Park St, Hamburg, IA 51640",1909 Park St,Hamburg,IA,51640,(712) 579-6101,"Tues 1st and 3rd Tues of each month, 5:00 pm - 6:30 pm",Food Pantry
New Visions Omaha,Requirements: Residents only or VA card.,NA,"1425 N 18th St, Omaha, NE 68102","1425 N 18th St, Omaha, NE 68102",1425 N 18th St,Omaha,NE,68102,(402) 505-3523,"Mon - Sun 8:00 am - 9:00 am, 11:30 am - 12:30 pm, 5:00 pm - 6:00 pm",Meal Provider
Nishna - Red Oak,Requirements: Residence only.,NA,"100 E Oak St, Red Oak, IA 51566","100 E Oak St, Red Oak, IA 51566",100 E Oak St,Red Oak,IA,51566,(712) 623-4362,"Mon - Sun 7:30 am - 8:00 am, 12:00 pm - 1:00 pm, 5:30 pm, 8:00 pm",Meal Provider
Norfolk Ministerial Association,Requirements: Social Security card and proof of residency (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"132 S 4th St, Norfolk, NE 68701","132 S 4th St, Norfolk, NE 68701",132 S 4th St,Norfolk,NE,68701,(402) 644-8155,"Mon - Fri 9:30 am - 11:00 am, Call for appointment",Food Pantry
North Platte Catholic Community Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"421 1/2 E 3rd St, North Platte, NE 69101","421 1/2 E 3rd St, North Platte, NE 69101",421 1/2 E 3rd St,North Platte,NE,69101,(308) 532-8800,Mon - Tues 1:00 - 3:00 pm; Thurs 1:00 - 3:00 pm,Food Pantry
Northeast Nebraska Community Action Partnership (CAP) - Creighton,"Requirements: Driver's License, Social Security card, proof of residency, proof of Income, fill out paperwork (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"808 Chase Ave, Creighton, NE 68729","808 Chase Ave, Creighton, NE 68729",808 Chase Ave,Creighton,NE,68729,(402) 358-5297,Mon - Thurs 8:00 am - 4:30 pm by appointment,Food Pantry
Northeast Nebraska Community Action Partnership (CAP) - Norfolk,Requirements: ID preferred but not required (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"1405 Riverside Blvd, Norfolk, NE 68701","1405 Riverside Blvd, Norfolk, NE 68701",1405 Riverside Blvd,Norfolk,NE,68701,(402) 371-0377,Mon - Fri 8:00 am - 4:30 pm by appointment,Food Pantry
Northeast Nebraska Community Action Partnership (CAP) - Pender,"Requirements: Drivers license, Social Security card, fill out paperwork (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"603 Earl St, Pender, NE 68047","603 Earl St, Pender, NE 68047",603 Earl St,Pender,NE,68047,(402) 385-6300,Mon - Fri 8:00 am - 4:30 pm by appointment,Food Pantry
Northwest Community Action Partnership (NCAP Food and Nutrition Programs) - Alliance Extra Helpings Food Pantry,Requirements: Please call partner for more information.,NA,"1028 E. Third St., Bldg C Room 100 or 200, Alliance, NE 69301","1028 E. Third St., Bldg C Room 100 or 200, Alliance, NE 69301",1028 E. Third St.,Bldg C Room 100 or 200,NA,NA,(308) 762-4523,Mon 9:30 am - 12:00 pm and 1:00 pm - 3:00 pm; Wed 9:30 am - 12:00 pm and 1:00 pm - 3:00 pm,Food Pantry
Northwest Community Action Partnership (NCAP Food and Nutrition Programs) - Chadron Extra Helpings Food Pantry,Requirements: Please call partner for more information.,NA,"127 W 2nd St, Ste 105, Chadron, NE 69337","127 W 2nd St, Ste 105, Chadron, NE 69337",127 W 2nd St,Ste 105,NA,NA,(308) 747-2200,Tues - Wed 10:30 am - 12:00 pm and 1:00 pm - 4:00 pm,Food Pantry
Northwest Community Action Partnership (NCAP Food and Nutrition Programs) - Rushville Extra Helpings Food Pantry,Requirements: Please call partner for more information.,NA,"207 S Main St, Rushville, NE 69360","207 S Main St, Rushville, NE 69360",207 S Main St,Rushville,NE,69360,(308) 430-3438,"Tues 1st and 3rd Tues of each month, 10:00 am - 12:00 pm and 1:00 pm - 3:00 pm",Food Pantry
Northwest Community Action Partnership (NCAP Food and Nutrition Programs) - Valentine Extra Helpings Food Pantry,Requirements: Please call partner for more information.,NA,"158 N Main St, Valentine, NE 69201","158 N Main St, Valentine, NE 69201",158 N Main St,Valentine,NE,69201,(402) 376-1886,Tues - Wed 8:00 am - 3:00 pm,Food Pantry
Notre Dame Housing,Requirements: Proof of address.,NA,"3439 State St, Omaha, NE 68115","3439 State St, Omaha, NE 68115",3439 State St,Omaha,NE,68115,(402) 451-4477,"Wed 3rd Weds of each month, 10:00 am - 2:00 pm",Food Pantry
Nuckolls County Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"145 East 4th St, Superior, NE 68978","145 East 4th St, Superior, NE 68978",145 East 4th St,Superior,NE,68978,(402) 879-3715,Mon - Fri 9:00 am - 5:00 pm,Food Pantry
O'Neill Methodist Church (MC) Pantry,Requirements: Sign USDA form (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"404 West Cedar St, O'Neill, NE 68763","404 West Cedar St, O'Neill, NE 68763",404 West Cedar St,O'Neill,NE,68763,(402) 336-1883,"Thurs 1st and 3rd Thurs of each month, 11:00 am - 1:00 pm",Food Pantry
One Life Church,Requirements: Please call partner for more information.,NA,"211 S. 23rd Street Plattsmouth, NE 68048","211 S. 23rd Street Plattsmouth, NE 68048",211 S. 23rd Street Plattsmouth,NE 68048,NA,NA,(402) 804-2101,Wed 2nd & 4th Wednesdays 5:30 pm - 6:30 pm,Food Pantry
One World Community Health Center,Requirements: Please call partner for more information.,NA,"4920 S 30th St, Omaha, NE 68107","4920 S 30th St, Omaha, NE 68107",4920 S 30th St,Omaha,NE,68107,(402) 734-4110,Mon Please call partner for more information.,Food Pantry
One14 Center Pantry,Requirements: Photo ID and proof of address.,NA,"2617 S 114th St, Omaha, NE 68144","2617 S 114th St, Omaha, NE 68144",2617 S 114th St,Omaha,NE,68144,(402) 333-4444 ext. 1002,Mon 3rd Monday 4:00 pm - 6:00 pm; Sun 1st Sunday 12:00 pm - 2:00 pm,Food Pantry
Our Saviors Lutheran Pantry,Requirements: TEFAP form if applicable (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"313 Story St, Council Bluffs, IA 51503","313 Story St, Council Bluffs, IA 51503",313 Story St,Council Bluffs,IA,51503,(712) 322-6655,Thurs 11:00 am - 3:00 pm; Fri 4th Fri 5:00 pm - 7:00 pm,Food Pantry
Oxford Community Food Pantry,Requirements: May ask for proof of address (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"801 Odell St, Oxford, NE 68967","801 Odell St, Oxford, NE 68967",801 Odell St,Oxford,NE,68967,(308) 991-7331,Tues Please call partner for more information.; Thurs Please call partner for more information.,Food Pantry
Phelps Community Pantry,Requirements: Must live in county (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"202 West Ave, Holdrege, NE 68949","202 West Ave, Holdrege, NE 68949",202 West Ave,Holdrege,NE,68949,(308) 995-4254,Mon - Fri 1:00 pm - 2:00 pm,Food Pantry
Pilger Community Food Pantry,Requirements: None.,NA,"Cooper Family Community Center: 100 W 2nd St, Pilger, NE 68768","100 W 2nd St, Pilger, NE 68768",100 W 2nd St,Pilger,NE,68768,(402) 750-6000,"Tues Typically 2nd Tues of each month, 5:00 pm - 6:30 pm",Food Pantry
Potter's Wheel Ministries,Requirements: Referrals.,NA,"118 E Overland, Scottsbluff, NE 69361","118 E Overland, Scottsbluff, NE 69361",118 E Overland,Scottsbluff,NE,69361,(308) 672-7400,Tues 1:00 pm - 2:45 pm; Thurs 1:00 pm - 2:45 pm,Food Pantry
Prairie Rose Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"406 2nd St, Taylor, NE 68879","406 2nd St, Taylor, NE 68879",406 2nd St,Taylor,NE,68879,(308) 214-1050,"Thurs 2nd Thurs of the month, 3:30 pm - 5:00 pm",Food Pantry
Project Hope Pantry,"Requirements: Photo ID, Social Security card, proof of residence.",NA,"6201 N 60th St, Omaha, NE 68104","6201 N 60th St, Omaha, NE 68104",6201 N 60th St,Omaha,NE,68104,(402) 453-7649,Mon 11:00 am - 2:45 pm; Wed 11:00 am - 2:45 pm; Fri 11:00 am - 2:45 pm,Food Pantry
Randolph Pantry,Requirements: Sign form at the pantry (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"310 W Broadway, Randolph, NE 68771","310 W Broadway, Randolph, NE 68771",310 W Broadway,Randolph,NE,68771,(402) 360-0485,"Mon 2nd and 4th Mon of each month, 5:00 pm - 7:00 pm; Tues - Sun By appointment",Food Pantry
Revive Inc.,Requirements: Enrolled in program.,NA,"2205 Osborne Drive E, Hastings, NE 68901","2205 Osborne Drive E, Hastings, NE 68901",2205 Osborne Drive E,Hastings,NE,68901,(402) 462-2066,"Mon - Sun 7:00 am, 11:00 am, 5:00 pm",Meal Provider
Roca De Salvacion Pantry,"Requirements: Photo ID, address, how many in household, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"4757 N 24th St, Omaha, NE 68110","4757 N 24th St, Omaha, NE 68110",4757 N 24th St,Omaha,NE,68110,(402) 342-7649,Wed 2:00 pm - 4:00 pm,Food Pantry
Rock County Pantry,Requirements: Proof of residency in Rock County (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"656 Sunrise Cir, Bassett, NE 68714","656 Sunrise Cir, Bassett, NE 68714",656 Sunrise Cir,Bassett,NE,68714,(402) 760-2180,"Mon 3rd Mon of each month, 3:00 pm - 6:00 pm",Food Pantry
Salvation Army (SA) Burrows Center,Requirements: TEFAP form if applicable (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"6101 NW Radial Hwy, Omaha, NE 68104","6101 NW Radial Hwy, Omaha, NE 68104",6101 NW Radial Hwy,Omaha,NE,68104,(402) 898-5863,Mon - Tues 9:00 am - 11:00 am and 1:00 pm - 3:30 pm; Thurs - Fri 9:00 am - 11:00 am and 1:00 pm - 3:30 pm,Food Pantry
Salvation Army (SA) Grand Island-Meal Provider,Requirements: None.,NA,"818 W 3rd St, Grand Island, NE 68801","818 W 3rd St, Grand Island, NE 68801",818 W 3rd St,Grand Island,NE,68801,(308) 395-8369,"Mon - Fri 12:00 pm - 1:00 pm, 5:00 pm - 6:00 pm",Meal Provider
Salvation Army (SA) Grand Island-Pantry,Requirements: None.,NA,"818 W 3rd St, Grand Island, NE 68801","818 W 3rd St, Grand Island, NE 68801",818 W 3rd St,Grand Island,NE,68801,(308) 382-4855,Mon - Wed 1:00 pm - 4:30 pm; Thurs 9:00 am - 1:45 pm; Fri 1:00 pm - 4:30 pm,Food Pantry
Salvation Army (SA) Kearney,Requirements: None.,Details: USDA/TEFAP Provider.,"1719 Central Ave, Kearney, NE 68847","1719 Central Ave, Kearney, NE 68847",1719 Central Ave,Kearney,NE,68847,(308) 234-9998,Thurs 2:00 pm- 4:00 pm. Please call partner for more information.,Food Pantry
Salvation Army (SA) North Kare Kitchen,Requirements: None.,Details: USDA/TEFAP Provider.,"2401 Manderson St, Omaha, NE 68111","2401 Manderson St, Omaha, NE 68111",2401 Manderson St,Omaha,NE,68111,(402) 451-4048,Mon - Fri 11:30 am - 1:00 pm,Meal Provider
Salvation Army (SA) North Platte,Requirements: 2 forms of ID for everyone in the household.,NA,"1020 N Adams Ave, North Platte, NE 69101","1020 N Adams Ave, North Platte, NE 69101",1020 N Adams Ave,North Platte,NE,69101,(308) 532-2038,Tues 9:00 am - 11:45 am; Wed 6:00 pm - 7:00 pm; Thurs 9:00 am - 11:45 am,Food Pantry
Salvation Army (SA) Pantry - Columbus,"Requirements: Proof of residency, photo ID, proof of income, Medicaid/birth certificate for children (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"1711 23rd St, Columbus, NE 68601","1711 23rd St, Columbus, NE 68601",1711 23rd St,Columbus,NE,68601,(402) 564-2184,Tues 1:00 pm - 3:00 pm; Thurs 1:00 pm - 3:00 pm,Food Pantry
Salvation Army (SA) Pantry - Norfolk,"Requirements: Driver's license, proof of residency, proof of income (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"610 W Norfolk Ave, Norfolk, NE 68701","610 W Norfolk Ave, Norfolk, NE 68701",610 W Norfolk Ave,Norfolk,NE,68701,(402) 379-4663 ext. 201,Mon 9:00 am - 12:00 pm and 1:00 pm - 4:00 pm; Wed 9:00 am - 12:00 pm and 1:00 pm - 4:00 pm; Fri 9:00 am - 12:00 pm,Food Pantry
San Andres Lutheran Pantry,Requirements: Please call partner for more information (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"4440 S 25th St, Omaha, NE 68107","4440 S 25th St, Omaha, NE 68107",4440 S 25th St,Omaha,NE,68107,(712) 831-3115,Mon - Sun Please call partner for more information.,Food Pantry
SCDC - Salem Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"3120 Lake St, Omaha, NE 68111","3120 Lake St, Omaha, NE 68111",3120 Lake St,Omaha,NE,68111,(402) 505-9973,Wed - Thurs 10:00 am - 2:00 pm,Food Pantry
Sew & Share Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"923 W State St, Clarinda, IA 51632","923 W State St, Clarinda, IA 51632",923 W State St,Clarinda,IA,51632,(712) 303-2751,Wed 1:00 pm - 3:00 pm,Food Pantry
Shared Abundance Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"519 E Webster St, Morrill, NE 69358","519 E Webster St, Morrill, NE 69358",519 E Webster St,Morrill,NE,69358,(308) 830-5829,"Thurs 2nd Thursday of each month, 5:30 - 7:30 pm (MST); Sat 4th Saturday of each month, 10:00 am - 12:00 pm (MST)",Food Pantry
Sharing & Caring Neighbors,Requirements: None.,Details: USDA/TEFAP Provider.,"112 N 1st St, Hay Springs, NE 69347","112 N 1st St, Hay Springs, NE 69347",112 N 1st St,Hay Springs,NE,69347,(308) 430-1074,Wed 8:30 am - 3:00 pm,Food Pantry
Siena Francis House,Requirements: None.,Details: USDA/TEFAP Provider.,"1702 Nicholas St, Omaha, NE 68101","1702 Nicholas St, Omaha, NE 68101",1702 Nicholas St,Omaha,NE,68101,(402) 341-1821,"Mon 11:30am - 12:30pm - Please call partner for more information.; Tues - Thurs 11:30am - 12:30pm; Fri 12pm - 1pm; Sat 7am and 5am - 7pm, 11:30am - 12:30pm; Sun 7am and 5am - 7pm, 9am - 11am",Meal Provider
Simon House Pantry,Requirements: Driver's license and proof of residency.,NA,"1853 10th Ave, Columbus, NE 68601","1853 10th Ave, Columbus, NE 68601",1853 10th Ave,Columbus,NE,68601,(402) 564-8444,Mon - Fri 10:30 am - 4:30 pm,Food Pantry
Southside Helping Hands Pantry,Requirements: TEFAP form if applicable (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"1919 S 10th St, Council Bluffs, IA 51501","1919 S 10th St, Council Bluffs, IA 51501",1919 S 10th St,Council Bluffs,IA,51501,(712) 322-8122,Wed 8:00 am - 10:30 am; Fri 8:00 am - 10:30 am,Food Pantry
St. Bernard Pantry St. Vincent De Paul (SVDP),Requirements: Social Security card and proof of residency (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"3601 N 65th St, Omaha, NE 68104","3601 N 65th St, Omaha, NE 68104",3601 N 65th St,Omaha,NE,68104,(402) 690-9432,Tues 3:30 pm - 5:00 pm,Food Pantry
St. Cecilias Pantry,Requirements: None.,NA,"701 N 40th St, Omaha, NE 68131","701 N 40th St, Omaha, NE 68131",701 N 40th St,Omaha,NE,68131,(402) 551-2313,Mon - Fri 9:00 am - 4:00 pm,Food Pantry
"St. Peter's Food Pantry, St. Vincent De Paul (SVDP)",Requirements: ID.,NA,"709 S 28th St, Omaha, NE 68105","709 S 28th St, Omaha, NE 68105",709 S 28th St,Omaha,NE,68105,(402) 350-0888,"Tues - Fri 9:00 am - 12:00 pm, 1:00 pm - 5:30 pm; Sat 1:00 pm - 3:00pm",Food Pantry
